CHORD_ROOT,CHORD_TYPE,CHORD_STRUCTURE,NOTES,N/A,N/A,N/A,N/A,N/A,N/A
E#,m9,1;b3;5;b7;9,E#,G#,B#,D#,F##,N/A,N/A
E#,13(b9),1;3;5;b7;b9;11;13,E#,G##,B#,D#,F#,A#,C##
E#,sus4,1;4;5,E#,A#,B#,N/A,N/A,N/A,N/A
E#,6/9,1;3;5;6;9,E#,G##,B#,C##,F##,N/A,N/A
F#,9(#5),1;3;#5;b7;9,F#,A#,C##,E,G#,N/A,N/A
F#,13,1;3;5;b7;9;11;13,F#,A#,C#,E,G#,B,D#
F#,6(#11),1;3;5;6;#11,F#,A#,C#,D#,B#,N/A,N/A
F#,7(#9),1;3;5;b7;#9,F#,A#,C#,E,G##,N/A,N/A
F#,+(#11),1;3;#5;#11,F#,A#,C##,B#,N/A,N/A,N/A
F#,9,1;3;5;b7;9,F#,A#,C#,E,G#,N/A,N/A
F#,9b5,1;3;b5;b7;9,F#,A#,C,E,G#,N/A,N/A
F#,maj13,1;3;5;7;9;11;13,F#,A#,C#,E#,G#,B,D#
F#,7,1;3;5;b7,F#,A#,C#,E,N/A,N/A,N/A
F#,dim7,1;b3;b5;bb7,F#,A,C,Eb,N/A,N/A,N/A
F#,aug,1;3;#5,F#,A#,C##,N/A,N/A,N/A,N/A
F#,m(maj9),1;b3;5;7;9,F#,A,C#,E#,G#,N/A,N/A
F#,maj,1;3;5,F#,A#,C#,N/A,N/A,N/A,N/A
F#,13(#11),1;3;5;b7;9;#11;13,F#,A#,C#,E,G#,B#,D#
F#,11,1;3;5;b7;9;11,F#,A#,C#,E,G#,B,N/A
F#,maj9,1;3;5;7;9,F#,A#,C#,E#,G#,N/A,N/A
F#,sus2,1;2;5,F#,G#,C#,N/A,N/A,N/A,N/A
F#,7(b13),1;3;5;b7;b13,F#,A#,C#,E,D,N/A,N/A
F#,maj7(#5),1;3;#5;7,F#,A#,C##,E#,N/A,N/A,N/A
F#,m11,1;b3;5;b7;9;11,F#,A,C#,E,G#,B,N/A
F#,add9,1;3;5;9,F#,A#,C#,G#,N/A,N/A,N/A
F#,m7b5,1;b3;b5;b7,F#,A,C,E,N/A,N/A,N/A
F#,m13,1;b3;5;b7;9;11;13,F#,A,C#,E,G#,B,D#
F#,m,1;b3;5,F#,A,C#,N/A,N/A,N/A,N/A
F#,7b5,1;3;b5;b7,F#,A#,C,E,N/A,N/A,N/A
F#,9(#11),1;3;5;b7;9;#11,F#,A#,C#,E,G#,B#,N/A
F#,m7,1;b3;5;b7,F#,A,C#,E,N/A,N/A,N/A
F#,m(maj7),1;b3;5;7,F#,A,C#,E#,N/A,N/A,N/A
F#,dim,1;b3;b5,F#,A,C,N/A,N/A,N/A,N/A
F#,6,1;3;5;6,F#,A#,C#,D#,N/A,N/A,N/A
F#,7(#5),1;3;#5;b7,F#,A#,C##,E,N/A,N/A,N/A
F#,7sus4,1;4;5;b7,F#,B,C#,E,N/A,N/A,N/A
F#,maj7,1;3;5;7,F#,A#,C#,E#,N/A,N/A,N/A
F#,5,1;5,F#,C#,N/A,N/A,N/A,N/A,N/A
F#,7(#11),1;3;5;b7;#11,F#,A#,C#,E,B#,N/A,N/A
F#,13(#9),1;3;5;b7;#9;11;13,F#,A#,C#,E,G##,B,D#
F#,m6,1;b3;5;6,F#,A,C#,D#,N/A,N/A,N/A
F#,13(#5),1;3;#5;b7;9;11;13,F#,A#,C##,E,G#,B,D#
F#,m6/9,1;b3;5;6;9,F#,A,C#,D#,G#,N/A,N/A
F#,7(b9),1;3;5;b7;b9,F#,A#,C#,E,G,N/A,N/A
F#,m9,1;b3;5;b7;9,F#,A,C#,E,G#,N/A,N/A
F#,13(b9),1;3;5;b7;b9;11;13,F#,A#,C#,E,G,B,D#
F#,sus4,1;4;5,F#,B,C#,N/A,N/A,N/A,N/A
F#,6/9,1;3;5;6;9,F#,A#,C#,D#,G#,N/A,N/A
G#,9(#5),1;3;#5;b7;9,G#,B#,D##,F#,A#,N/A,N/A
G#,13,1;3;5;b7;9;11;13,G#,B#,D#,F#,A#,C#,E#
G#,6(#11),1;3;5;6;#11,G#,B#,D#,E#,C##,N/A,N/A
G#,7(#9),1;3;5;b7;#9,G#,B#,D#,F#,A##,N/A,N/A
G#,+(#11),1;3;#5;#11,G#,B#,D##,C##,N/A,N/A,N/A
G#,9,1;3;5;b7;9,G#,B#,D#,F#,A#,N/A,N/A
G#,9b5,1;3;b5;b7;9,G#,B#,D,F#,A#,N/A,N/A
G#,maj13,1;3;5;7;9;11;13,G#,B#,D#,F##,A#,C#,E#
G#,7,1;3;5;b7,G#,B#,D#,F#,N/A,N/A,N/A
G#,dim7,1;b3;b5;bb7,G#,B,D,F,N/A,N/A,N/A
G#,aug,1;3;#5,G#,B#,D##,N/A,N/A,N/A,N/A
G#,m(maj9),1;b3;5;7;9,G#,B,D#,F##,A#,N/A,N/A
G#,maj,1;3;5,G#,B#,D#,N/A,N/A,N/A,N/A
G#,13(#11),1;3;5;b7;9;#11;13,G#,B#,D#,F#,A#,C##,E#
G#,11,1;3;5;b7;9;11,G#,B#,D#,F#,A#,C#,N/A
G#,maj9,1;3;5;7;9,G#,B#,D#,F##,A#,N/A,N/A
G#,sus2,1;2;5,G#,A#,D#,N/A,N/A,N/A,N/A
G#,7(b13),1;3;5;b7;b13,G#,B#,D#,F#,E,N/A,N/A
G#,maj7(#5),1;3;#5;7,G#,B#,D##,F##,N/A,N/A,N/A
G#,m11,1;b3;5;b7;9;11,G#,B,D#,F#,A#,C#,N/A
G#,add9,1;3;5;9,G#,B#,D#,A#,N/A,N/A,N/A
G#,m7b5,1;b3;b5;b7,G#,B,D,F#,N/A,N/A,N/A
G#,m13,1;b3;5;b7;9;11;13,G#,B,D#,F#,A#,C#,E#
G#,m,1;b3;5,G#,B,D#,N/A,N/A,N/A,N/A
G#,7b5,1;3;b5;b7,G#,B#,D,F#,N/A,N/A,N/A
G#,9(#11),1;3;5;b7;9;#11,G#,B#,D#,F#,A#,C##,N/A
G#,m7,1;b3;5;b7,G#,B,D#,F#,N/A,N/A,N/A
G#,m(maj7),1;b3;5;7,G#,B,D#,F##,N/A,N/A,N/A
G#,dim,1;b3;b5,G#,B,D,N/A,N/A,N/A,N/A
G#,6,1;3;5;6,G#,B#,D#,E#,N/A,N/A,N/A
G#,7(#5),1;3;#5;b7,G#,B#,D##,F#,N/A,N/A,N/A
G#,7sus4,1;4;5;b7,G#,C#,D#,F#,N/A,N/A,N/A
G#,maj7,1;3;5;7,G#,B#,D#,F##,N/A,N/A,N/A
G#,5,1;5,G#,D#,N/A,N/A,N/A,N/A,N/A
G#,7(#11),1;3;5;b7;#11,G#,B#,D#,F#,C##,N/A,N/A
G#,13(#9),1;3;5;b7;#9;11;13,G#,B#,D#,F#,A##,C#,E#
G#,m6,1;b3;5;6,G#,B,D#,E#,N/A,N/A,N/A
G#,13(#5),1;3;#5;b7;9;11;13,G#,B#,D##,F#,A#,C#,E#
G#,m6/9,1;b3;5;6;9,G#,B,D#,E#,A#,N/A,N/A
G#,7(b9),1;3;5;b7;b9,G#,B#,D#,F#,A,N/A,N/A
G#,m9,1;b3;5;b7;9,G#,B,D#,F#,A#,N/A,N/A
G#,13(b9),1;3;5;b7;b9;11;13,G#,B#,D#,F#,A,C#,E#
G#,sus4,1;4;5,G#,C#,D#,N/A,N/A,N/A,N/A
G#,6/9,1;3;5;6;9,G#,B#,D#,E#,A#,N/A,N/A
Ab,9(#5),1;3;#5;b7;9,Ab,C,E,Gb,Bb,N/A,N/A
Ab,13,1;3;5;b7;9;11;13,Ab,C,Eb,Gb,Bb,Db,F
Ab,6(#11),1;3;5;6;#11,Ab,C,Eb,F,D,N/A,N/A
Ab,7(#9),1;3;5;b7;#9,Ab,C,Eb,Gb,B,N/A,N/A
Ab,+(#11),1;3;#5;#11,Ab,C,E,D,N/A,N/A,N/A
Ab,9,1;3;5;b7;9,Ab,C,Eb,Gb,Bb,N/A,N/A
Ab,9b5,1;3;b5;b7;9,Ab,C,Ebb,Gb,Bb,N/A,N/A
Ab,maj13,1;3;5;7;9;11;13,Ab,C,Eb,G,Bb,Db,F
Ab,7,1;3;5;b7,Ab,C,Eb,Gb,N/A,N/A,N/A
Ab,dim7,1;b3;b5;bb7,Ab,Cb,Ebb,Gbb,N/A,N/A,N/A
Ab,aug,1;3;#5,Ab,C,E,N/A,N/A,N/A,N/A
Ab,m(maj9),1;b3;5;7;9,Ab,Cb,Eb,G,Bb,N/A,N/A
Ab,maj,1;3;5,Ab,C,Eb,N/A,N/A,N/A,N/A
Ab,13(#11),1;3;5;b7;9;#11;13,Ab,C,Eb,Gb,Bb,D,F
Ab,11,1;3;5;b7;9;11,Ab,C,Eb,Gb,Bb,Db,N/A
Ab,maj9,1;3;5;7;9,Ab,C,Eb,G,Bb,N/A,N/A
Ab,sus2,1;2;5,Ab,Bb,Eb,N/A,N/A,N/A,N/A
Ab,7(b13),1;3;5;b7;b13,Ab,C,Eb,Gb,Fb,N/A,N/A
Ab,maj7(#5),1;3;#5;7,Ab,C,E,G,N/A,N/A,N/A
Ab,m11,1;b3;5;b7;9;11,Ab,Cb,Eb,Gb,Bb,Db,N/A
Ab,add9,1;3;5;9,Ab,C,Eb,Bb,N/A,N/A,N/A
Ab,m7b5,1;b3;b5;b7,Ab,Cb,Ebb,Gb,N/A,N/A,N/A
Ab,m13,1;b3;5;b7;9;11;13,Ab,Cb,Eb,Gb,Bb,Db,F
Ab,m,1;b3;5,Ab,Cb,Eb,N/A,N/A,N/A,N/A
Ab,7b5,1;3;b5;b7,Ab,C,Ebb,Gb,N/A,N/A,N/A
